x,y,z
-0.518123,-2.10775,0.549195
-0.310893,-2.19707,0.434588
0.286682,-0.455423,0.108669
1.00083,-1.42061,-0.287787
1.00344,-1.39907,-0.289179
1.00296,-1.32568,-0.28875
0.922207,-1.20601,-0.243894
0.923954,-1.19772,-0.24484
0.907171,-1.13476,-0.235431
0.829066,-1.00792,-0.192022
0.911743,-0.458032,-0.236408
0.91447,-0.296995,-0.237546
0.9148,-0.249303,-0.237619
0.914837,-0.197889,-0.237522
0.915235,-0.147485,-0.237627
0.910468,-0.048103,-0.234768
0.917301,0.054441,-0.238306
0.911416,0.103232,-0.234946
0.908698,0.152389,-0.233333
0.920984,0.200715,-0.240005
0.914115,0.250549,-0.236099
0.912683,0.302648,-0.23519
0.750137,0.380464,-0.145276
0.66591,0.409229,-0.098712
0.472867,0.33922,0.007699
0.915706,0.757356,-0.235819
0.921203,0.811759,-0.23873
0.918638,1.1007,-0.236654
0.916376,1.25293,-0.235057
0.899228,1.26229,-0.225569
0.681951,0.967436,-0.106293
0.615752,1.26545,-0.069066
0.305392,1.28059,0.102306
-0.051069,1.17208,0.298846
-0.314847,1.25343,0.444653
-0.501874,1.23712,0.547866
-0.495228,1.09628,0.543876
-0.500566,0.865722,0.546296
-0.500641,0.849845,0.546301
-0.153133,-0.407257,0.349194
-0.492501,-1.45772,0.52947
-0.529706,-1.7613,0.548806
-0.52665,-1.82708,0.547011
-0.521746,-1.97924,0.544026
-0.250742,-2.18178,0.397701
-0.161667,-2.23573,0.349635
0.300835,-0.459889,0.104731
1.01359,-1.49742,-0.28126
1.02733,-1.50441,-0.288671
1.00067,-1.29235,-0.27384
0.401929,-0.400855,0.050453
0.952071,-0.437785,-0.245739
